"codigo_postal","estado","municipio","ciudad","colonia","tipo_asentamiento"
"20000","Aguascalientes","Aguascalientes","Aguascalientes","Zona Centro","Colonia"
"20010","Aguascalientes","Aguascalientes","Aguascalientes","Colinas del Rio","Fraccionamiento"
"20010","Aguascalientes","Aguascalientes","Aguascalientes","Las Brisas","Fraccionamiento"
"20010","Aguascalientes","Aguascalientes","Aguascalientes","Olivares Santana","Colonia"
"20010","Aguascalientes","Aguascalientes","Aguascalientes","Ramon Romo Franco","Fraccionamiento"
"20010","Aguascalientes","Aguascalientes","Aguascalientes","San Cayetano","Fraccionamiento"
"20016","Aguascalientes","Aguascalientes","Aguascalientes","Colinas de San Ignacio","Fraccionamiento"
"20016","Aguascalientes","Aguascalientes","Aguascalientes","Fundición II","Fraccionamiento"
"20016","Aguascalientes","Aguascalientes","Aguascalientes","La Fundición","Fraccionamiento"
"20016","Aguascalientes","Aguascalientes","Aguascalientes","Los Sauces","Fraccionamiento"
"20018","Aguascalientes","Aguascalientes","Aguascalientes","Línea de Fuego","Colonia"
"20020","Aguascalientes","Aguascalientes","Aguascalientes","Buenos Aires","Colonia"
"20020","Aguascalientes","Aguascalientes","Aguascalientes","Circunvalación Norte","Fraccionamiento"
"20020","Aguascalientes","Aguascalientes","Aguascalientes","Las Arboledas","Fraccionamiento"
"20020","Aguascalientes","Aguascalientes","Aguascalientes","Villas de San Francisco","Fraccionamiento"
"20029","Aguascalientes","Aguascalientes","Aguascalientes","Villas de La Universidad","Fraccionamiento"
"20030","Aguascalientes","Aguascalientes","Aguascalientes","El Sol","Fraccionamiento"
"20030","Aguascalientes","Aguascalientes","Aguascalientes","Gremial","Colonia"
"20030","Aguascalientes","Aguascalientes","Aguascalientes","Industrial","Colonia"
"20040","Aguascalientes","Aguascalientes","Aguascalientes","Altavista","Colonia"
"20040","Aguascalientes","Aguascalientes","Aguascalientes","Curtidores","Colonia"
"20040","Aguascalientes","Aguascalientes","Aguascalientes","La Concordia","Fraccionamiento"
"20040","Aguascalientes","Aguascalientes","Aguascalientes","Miravalle","Colonia"
"20040","Aguascalientes","Aguascalientes","Aguascalientes","Panorama","Fraccionamiento"
"20049","Aguascalientes","Aguascalientes","Aguascalientes","Colinas del Poniente","Fraccionamiento"
"20050","Aguascalientes","Aguascalientes","Aguascalientes","Bugambilias","Condominio"
"20050","Aguascalientes","Aguascalientes","Aguascalientes","Del Carmen","Colonia"
"20050","Aguascalientes","Aguascalientes","Aguascalientes","La Fe","Colonia"
"20050","Aguascalientes","Aguascalientes","Aguascalientes","México","Colonia"
"20050","Aguascalientes","Aguascalientes","Aguascalientes","Primavera","Colonia"
"20050","Aguascalientes","Aguascalientes","Aguascalientes","San Pablo","Colonia"
"20059","Aguascalientes","Aguascalientes","Aguascalientes","Guadalupe","Colonia"
"20059","Aguascalientes","Aguascalientes","Aguascalientes","Heliodoro Garcia","Colonia"
"20060","Aguascalientes","Aguascalientes","Aguascalientes","Gómez","Fraccionamiento"
"20060","Aguascalientes","Aguascalientes","Aguascalientes","Moderno","Fraccionamiento"
"20064","Aguascalientes","Aguascalientes","Aguascalientes","Valle del Rio San Pedro","Fraccionamiento"
"20070","Aguascalientes","Aguascalientes","Aguascalientes","Guadalupe Posada","Unidad habitacional"
"20070","Aguascalientes","Aguascalientes","Aguascalientes","San Marcos","Barrio"
"20070","Aguascalientes","Aguascalientes","Aguascalientes","San Marcos","Colonia"
"20078","Aguascalientes","Aguascalientes","Aguascalientes","San Marcos","Fraccionamiento"
"20080","Aguascalientes","Aguascalientes","Aguascalientes","Modelo","Fraccionamiento"
"20080","Aguascalientes","Aguascalientes","Aguascalientes","Residencial del Valle I","Fraccionamiento"
"20089","Aguascalientes","Aguascalientes","Aguascalientes","Residencial del Valle II","Fraccionamiento"
"20100","Aguascalientes","Aguascalientes","Aguascalientes","Campestre","Colonia"
"20100","Aguascalientes","Aguascalientes","Aguascalientes","Club Campestre","Fraccionamiento"
"20100","Aguascalientes","Aguascalientes","Aguascalientes","Jardines del Campestre","Condominio"
"20100","Aguascalientes","Aguascalientes","Aguascalientes","La Herradura","Fraccionamiento"
"20100","Aguascalientes","Aguascalientes","Aguascalientes","Los Vergeles","Fraccionamiento"
"20100","Aguascalientes","Aguascalientes","Aguascalientes","Rancho San Antonio","Condominio"
